Item,Designator,Description,Quantity,Mounting Type,Notes
1,"U1","DFRobot Beetle ESP32-C6 Mini Dev Board",1,"Plug-in Module (2x 1x08 Header)","Integrated LiPo charger & ADC monitor, USB-C flush to bottom edge"
2,"U2","Sensirion SHT45 High-Accuracy Temp & Humidity Sensor Breakout",1,"Plug-in Module (1x05 Header)","Top side, I2C: 0x44"
3,"U3","ROHM BH1750 Ambient Light Sensor Breakout",1,"Plug-in Module (1x05 Header)","Top side, I2C: 0x23 (ADDR=GND)"
4,"U4","InvenSense GY-521 (MPU6050) 6-DOF IMU Breakout",1,"Plug-in Module (1x08 Header)","Bottom side, I2C: 0x68 (AD0=GND)"
5,"U5","Zhongke Micro ATGM336H Ultra-Compact GPS/BDS Breakout",1,"Plug-in Module (1x05 Header)","Bottom side, UART: 9600 bps"
6,"J_MCU_L, J_MCU_R","2.54mm Pitch 1x08 Female Header Socket",2,"Through-Hole (Top)","For Beetle ESP32-C6"
7,"J_SHT45, J_BH1750","2.54mm Pitch 1x05 Female Header Socket",2,"Through-Hole (Top)","For SHT45 & BH1750"
8,"J_GY521","2.54mm Pitch 1x08 Female Header Socket",1,"Through-Hole (Bottom)","For GY-521"
9,"J_GPS","2.54mm Pitch 1x05 Female Header Socket",1,"Through-Hole (Bottom)","For ATGM336H GPS"
10,"J1","JST-PH 2.0mm 2-Pin Right-Angle/Straight Connector",1,"Through-Hole (Top)","For 3.7V LiPo Battery"
11,"SW1","PCM12 SPDT Slide Switch",1,"SMD / Through-Hole (Top)","Power ON/OFF switch"
12,"R3, R4","4.7kΩ 0603 Resistor",2,"SMD (Top)","I2C SDA/SCL Pull-up resistors"
13,"H1, H2, H3, H4","M3 (3.2mm) Mounting Holes",4,"Mechanical","Pads tied to GND"
