Item,Designator,Description,Quantity,Mounting Type,Notes
1,"U1","DFRobot Beetle ESP32-C6 Mini Dev Board",1,"Plug-in Module (2x 1x08 Header)","Integrated LiPo charger & ADC monitor, USB-C flush to bottom edge"
2,"U2","Sensirion SHT45 Qwiic Temp & Humidity Breakout [SZH-MIN069]",1,"Plug-in Module (1x05 Header, Bottom)","Adafruit Qwiic form factor (25.5x17.8mm), I2C: 0x44"
3,"U3","ROHM BH1750 Ambient Light Sensor Breakout GY-302 [SZH-EK070]",1,"Plug-in Module (1x05 Header, Top)","Real size 13.9x18.5mm, Top-facing sensor on Right Wing, I2C: 0x23"
4,"U4","InvenSense GY-521 (MPU6050) 6-DOF IMU Breakout [SZH-EK007]",1,"Plug-in Module (1x08 Header, Bottom)","Real size 20.7x15.65mm horizontal Top-Right, I2C: 0x68 (AD0=GND)"
5,"U5","Zhongke Micro ATGM336H-5N Ultra-Compact GPS/BDS Breakout [SZH-MIN053]",1,"Plug-in Module (1x05 Header, Bottom)","Real size 13.1x15.7mm on Left Wing, UART: 9600 bps"
6,"J_MCU_L, J_MCU_R","2.54mm Pitch 1x08 Female Header Socket",2,"Through-Hole (Top)","For Beetle ESP32-C6"
7,"J_BH1750","2.54mm Pitch 1x05 Female Header Socket",1,"Through-Hole (Top)","For BH1750 GY-302"
8,"J_SHT45","2.54mm Pitch 1x05 Female Header Socket",1,"Through-Hole (Bottom)","For SHT45 Qwiic"
9,"J_GY521","2.54mm Pitch 1x08 Female Header Socket",1,"Through-Hole (Bottom)","For GY-521 IMU"
10,"J_GPS","2.54mm Pitch 1x05 Female Header Socket",1,"Through-Hole (Bottom)","For ATGM336H GPS"
11,"J1","JST-PH 2.0mm 2-Pin Right-Angle/Straight Connector",1,"Through-Hole (Top)","For 3.7V LiPo Battery"
12,"SW1","PCM12 SPDT Slide Switch",1,"SMD (Top)","Power ON/OFF switch"
13,"R3, R4","4.7kΩ 0603 Resistor",2,"SMD (Top)","I2C SDA/SCL Pull-up resistors"
14,"H1, H2, H3, H4","M3 (3.2mm) Mounting Holes",4,"Mechanical","Pads tied to GND"
